"","bat_flight","FA","num_buzz","dur_FA","rate"
"465","bat",NA,NA,NA,NA
"466","bat",NA,NA,NA,NA
"467","bat",NA,NA,NA,NA
"468","bat",NA,NA,NA,NA
"469","bat",NA,NA,NA,NA
"470","bat",NA,NA,NA,NA
"471","bat",NA,NA,NA,NA
"472","bat",NA,NA,NA,NA
"473","bat",NA,NA,NA,NA
"474","bat",NA,NA,NA,NA
"475","bat",NA,NA,NA,NA
"476","bat",NA,NA,NA,NA
"477","bat",NA,NA,NA,NA
"478","bat",NA,NA,NA,NA
"479","bat",NA,NA,NA,NA
"480","bat",NA,NA,NA,NA
"481","bat",NA,NA,NA,NA
"482","bat",NA,NA,NA,NA
"483","bat",NA,NA,NA,NA
"484","bat",NA,NA,NA,NA
"485","bat",NA,NA,NA,NA
"486","bat",NA,NA,NA,NA
"487","bat",NA,NA,NA,NA
"488","bat",NA,NA,NA,NA
"489","bat",NA,NA,NA,NA
"490","bat",NA,NA,NA,NA
"491","bat",NA,NA,NA,NA
"492","bat",NA,NA,NA,NA
"493","bat",NA,NA,NA,NA
"494","bat",NA,NA,NA,NA
"495","bat",NA,NA,NA,NA
"496","bat",NA,NA,NA,NA
"497","bat",NA,NA,NA,NA
"498","bat",NA,NA,NA,NA
"499","bat",NA,NA,NA,NA
"500","bat",NA,NA,NA,NA
"501","bat",NA,NA,NA,NA
"502","bat",NA,NA,NA,NA
"503","bat",NA,NA,NA,NA
"504","bat",NA,NA,NA,NA
"505","bat",NA,NA,NA,NA
"506","bat",NA,NA,NA,NA
"507","bat",NA,NA,NA,NA
"508","bat",NA,NA,NA,NA
"509","bat",NA,NA,NA,NA
"510","bat",NA,NA,NA,NA
"511","bat",NA,NA,NA,NA
"512","bat",NA,NA,NA,NA
"513","bat",NA,NA,NA,NA
"514","bat",NA,NA,NA,NA
"515","bat",NA,NA,NA,NA
"516","bat",NA,NA,NA,NA
"517","bat",NA,NA,NA,NA
"518","bat",NA,NA,NA,NA
"519","bat",NA,NA,NA,NA
"520","bat",NA,NA,NA,NA
"521","bat",NA,NA,NA,NA
"522","bat",NA,NA,NA,NA
"523","bat",NA,NA,NA,NA
"524","bat",NA,NA,NA,NA
"525","bat",NA,NA,NA,NA
"526","bat",NA,NA,NA,NA
"527","bat",NA,NA,NA,NA
"528","bat",NA,NA,NA,NA
"529","bat",NA,NA,NA,NA
"530","bat",NA,NA,NA,NA
"531","bat",NA,NA,NA,NA
"532","bat",NA,NA,NA,NA
"533","bat",NA,NA,NA,NA
"534","bat",NA,NA,NA,NA
"535","bat",NA,NA,NA,NA
"536","bat",NA,NA,NA,NA
"537","bat",NA,NA,NA,NA
"538","bat",NA,NA,NA,NA
"539","bat",NA,NA,NA,NA
"540","bat",NA,NA,NA,NA
"541","bat",NA,NA,NA,NA
"542","bat",NA,NA,NA,NA
"543","bat",NA,NA,NA,NA
"544","bat",NA,NA,NA,NA
"545","bat",NA,NA,NA,NA
"546","bat",NA,NA,NA,NA
"547","bat",NA,NA,NA,NA
"548","bat",NA,NA,NA,NA
"549","bat",NA,NA,NA,NA
"550","bat",NA,NA,NA,NA
"551","bat",NA,NA,NA,NA
"552","bat",NA,NA,NA,NA
"553","bat",NA,NA,NA,NA
"554","bat",NA,NA,NA,NA
"555","bat",NA,NA,NA,NA
"556","bat",NA,NA,NA,NA
"557","bat",NA,NA,NA,NA
"558","bat",NA,NA,NA,NA
"559","bat",NA,NA,NA,NA
"560","bat",NA,NA,NA,NA
"561","bat",NA,NA,NA,NA
"562","bat",NA,NA,NA,NA
"563","bat",NA,NA,NA,NA
"564","bat",NA,NA,NA,NA
"565","bat",NA,NA,NA,NA
"566","bat",NA,NA,NA,NA
"567","bat",NA,NA,NA,NA
"568","bat",NA,NA,NA,NA
"569","bat",NA,NA,NA,NA
"570","bat",NA,NA,NA,NA
"571","bat",NA,NA,NA,NA
"572","bat",NA,NA,NA,NA
"573","bat",NA,NA,NA,NA
"574","bat",NA,NA,NA,NA
"575","bat",NA,NA,NA,NA
"576","bat",NA,NA,NA,NA
"577","bat",NA,NA,NA,NA
"578","bat",NA,NA,NA,NA
"579","bat",NA,NA,NA,NA
"580","bat",NA,NA,NA,NA
"581","bat",NA,NA,NA,NA
"582","bat",NA,NA,NA,NA
"583","bat",NA,NA,NA,NA
"584","bat",NA,NA,NA,NA
"585","bat",NA,NA,NA,NA
"586","bat",NA,NA,NA,NA
"587","bat",NA,NA,NA,NA
"588","bat",NA,NA,NA,NA
"589","bat",NA,NA,NA,NA
"590","bat",NA,NA,NA,NA
"591","bat",NA,NA,NA,NA
"592","bat",NA,NA,NA,NA
"593","bat",NA,NA,NA,NA
"594","bat",NA,NA,NA,NA
"595","bat",NA,NA,NA,NA
"596","bat",NA,NA,NA,NA
"597","bat",NA,NA,NA,NA
"598","bat",NA,NA,NA,NA
"599","bat",NA,NA,NA,NA
"600","bat",NA,NA,NA,NA
"601","bat",NA,NA,NA,NA
"602","bat",NA,NA,NA,NA
"603","bat",NA,NA,NA,NA
"604","bat",NA,NA,NA,NA
"605","bat",NA,NA,NA,NA
"606","bat",NA,NA,NA,NA
"607","bat",NA,NA,NA,NA
"608","bat",NA,NA,NA,NA
"609","bat",NA,NA,NA,NA
"610","bat",NA,NA,NA,NA
"611","bat",NA,NA,NA,NA
"612","bat",NA,NA,NA,NA
"613","bat",NA,NA,NA,NA
"614","bat",NA,NA,NA,NA
"615","bat",NA,NA,NA,NA
"616","bat",NA,NA,NA,NA
"617","bat",NA,NA,NA,NA
"618","bat",NA,NA,NA,NA
"619","bat",NA,NA,NA,NA
"620","bat",NA,NA,NA,NA
"621","bat",NA,NA,NA,NA
"622","bat",NA,NA,NA,NA
"623","bat",NA,NA,NA,NA
"624","bat",NA,NA,NA,NA
"625","bat",NA,NA,NA,NA
"626","bat",NA,NA,NA,NA
"627","bat",NA,NA,NA,NA
